COMPUTED FEM SOLUTION:
phi[396] = -2.146696
phi[397] = -2.124758
phi[398] = -2.103564
phi[399] = -2.083306
phi[400] = -2.064269
phi[401] = -2.046856
phi[402] = -2.027974
phi[403] = -2.008610
phi[404] = -1.988628
phi[405] = -1.968048
phi[406] = -1.946920
phi[407] = -1.925292
phi[408] = -1.903207
phi[409] = -1.880702
phi[410] = -1.857807
phi[411] = -1.834547
phi[412] = -1.810944
phi[413] = -1.787016
phi[414] = -1.762779
phi[415] = -1.738247
phi[416] = -1.713432
phi[417] = -1.688343
phi[418] = -1.662990
phi[419] = -1.637382
phi[420] = -1.611524
phi[421] = -1.585424
phi[422] = -1.559086
phi[423] = -1.532516
phi[424] = -1.505719
phi[425] = -1.478698
phi[426] = -1.451456
phi[427] = -1.423997
phi[428] = -1.396324
phi[429] = -1.368438
phi[430] = -1.340343
phi[431] = -1.312039
phi[432] = -1.283528
phi[433] = -1.254812
phi[434] = -1.225892
phi[435] = -1.196768
phi[436] = -1.167440
phi[437] = -1.137911
phi[438] = -1.108179
phi[439] = -1.078245
phi[440] = -1.048109
phi[441] = -1.017770
phi[442] = -0.987228
phi[443] = -0.956483
phi[444] = -0.925533
phi[445] = -0.894378
phi[446] = -0.863016
phi[447] = -0.831447
phi[448] = -0.799668
phi[449] = -0.767679
phi[450] = -0.735477
phi[451] = -0.703061
phi[452] = -0.670428
phi[453] = -0.637577
phi[454] = -0.604503
phi[455] = -0.571206
phi[456] = -0.537682
phi[457] = -0.503928
phi[458] = -0.469940
phi[459] = -0.435715
phi[460] = -0.401250
phi[461] = -0.366539
phi[462] = -0.331579
phi[463] = -0.296366
phi[464] = -0.260893
phi[465] = -0.225156
phi[466] = -0.189149
phi[467] = -0.152866
phi[468] = -0.116300
phi[469] = -0.079445
phi[470] = -0.042292
phi[471] = -0.004834
phi[472] = 0.032938
phi[473] = 0.071033
phi[474] = 0.109462
phi[475] = 0.148236
phi[476] = 0.187367
phi[477] = 0.226867
phi[478] = 0.266752
phi[479] = 0.307036
phi[480] = 0.347737
phi[481] = 0.388874
phi[482] = 0.430469
phi[483] = 0.472544
phi[484] = 0.515127
phi[485] = 0.558247
phi[486] = 0.601939
phi[487] = 0.646241
phi[488] = 0.691198
phi[489] = 0.736865
phi[490] = 0.783303
phi[491] = 0.830589
phi[492] = 0.878816
phi[493] = 0.928100
phi[494] = 0.978591
phi[495] = 1.030490
phi[496] = 1.084078
phi[497] = 1.139767
phi[498] = 1.198194
phi[499] = 1.260359
phi[500] = 1.327661
phi[501] = 1.400690
phi[502] = 1.463192
phi[503] = 1.520853
phi[504] = 1.574905
phi[505] = 1.626550
phi[506] = 1.676498
phi[507] = 1.725172
phi[508] = 1.772846
phi[509] = 1.819710
phi[510] = 1.865900
phi[511] = 1.911520
phi[512] = 1.956650
phi[513] = 2.001352
phi[514] = 2.045680
phi[515] = 2.089676
phi[516] = 2.133375
phi[517] = 2.176808
phi[518] = 2.220001
phi[519] = 2.262976
phi[520] = 2.305753
phi[521] = 2.348349
phi[522] = 2.390779
phi[523] = 2.433056
phi[524] = 2.475193
phi[525] = 2.517201
phi[526] = 2.559088
phi[527] = 2.600863
phi[528] = 2.642535
phi[529] = 2.684111
phi[530] = 2.725597
phi[531] = 2.766999
phi[532] = 2.808323
phi[533] = 2.849573
phi[534] = 2.890755
phi[535] = 2.931872
phi[536] = 2.972929
phi[537] = 3.013930
phi[538] = 3.054876
phi[539] = 3.095773
phi[540] = 3.136622
phi[541] = 3.177427
phi[542] = 3.218190
phi[543] = 3.258913
phi[544] = 3.299599
phi[545] = 3.340249
phi[546] = 3.380866
phi[547] = 3.421452
phi[548] = 3.462007
phi[549] = 3.502535
phi[550] = 3.543035
phi[551] = 3.583510
phi[552] = 3.623961
phi[553] = 3.664390
phi[554] = 3.704796
phi[555] = 3.745183
phi[556] = 3.785549
phi[557] = 3.825898
phi[558] = 3.866228
phi[559] = 3.906542
phi[560] = 3.946841
phi[561] = 3.987124
phi[562] = 4.027393
phi[563] = 4.067648
phi[564] = 4.107890
phi[565] = 4.148120
